ID,Text,Label
1,"I love this product, it is amazing!",Positive
2,This is the worst experience ever.,Negative
3,"It was okay, not great but decent.",Neutral
4,Absolutely fantastic service! Will buy again.,Positive
5,I hate how slow the delivery was.,Negative
6,The product is neither good nor bad.,Neutral
7,I'm extremely happy with my purchase!,Positive
8,"Terrible quality, I regret buying this.",Negative
9,"Not bad, but could be improved.",Neutral
10,Best purchase I've made in a long time!,Positive
