text,label
I love this product!,positive
"Horrible experience, never again.",negative
Best service ever!,positive
Worst customer support.,negative
"Amazing quality, fast delivery!",positive
"Not bad, but not great either.",neutral
I wouldn't recommend this to anyone.,negative
Very satisfied with my purchase.,positive
"The product is okay, nothing special.",neutral
"Terrible, do not buy this.",negative
Excellent value for money!,positive
Customer support was very helpful.,positive
Extremely disappointed with the quality.,negative
"Decent, but expected better.",neutral
Would definitely buy again!,positive
This is the worst product I have ever used.,negative
I feel neutral about this.,neutral
"It's just okay, nothing great.",neutral
"Absolutely terrible, waste of money!",negative
Highly recommend this to everyone!,positive
